species,type,status,file,result,notes
toona-ciliata,Leaf,Available,toona_ciliata_leaf_01.png,PASS,
toona-ciliata,Flower,Available,toona_ciliata_flower_01.png,PASS,
toona-ciliata,Seed,Available,toona_ciliata_seed_01.png,PASS,
toona-ciliata,Habitat,Available,toona_ciliata_habitat_01.jpg,PASS,
toona-ciliata,Bark,Missing,-,PASS,
tectona-grandis,Leaf,Available,tectona_grandis_leaf_01.jpg,PASS,
tectona-grandis,Flower,Missing,-,PASS,
tectona-grandis,Seed,Available,tectona_grandis_seed_01.png,PASS,
tectona-grandis,Habitat,Missing,-,PASS,
tectona-grandis,Bark,Missing,-,PASS,
azadirachta-indica,Leaf,Missing,-,PASS,
azadirachta-indica,Flower,Missing,-,PASS,
azadirachta-indica,Seed,Missing,-,PASS,
azadirachta-indica,Habitat,Available,azadirachta_indica_habitat_01.jpg,PASS,
azadirachta-indica,Bark,Missing,-,PASS,
sterculia-foetida,Leaf,Available,sterculia_foetida_leaf_01.png,PASS,
sterculia-foetida,Flower,Available,sterculia_foetida_flower_01.png,PASS,
sterculia-foetida,Seed,Available,sterculia_foetida_seed_01.png,PASS,
sterculia-foetida,Habitat,Available,sterculia_foetida_habitat_01.jpg,PASS,
sterculia-foetida,Bark,Missing,-,PASS,
aleurites-moluccana,Leaf,Available,aleurites_moluccana_leaf_01.jpg,PASS,
aleurites-moluccana,Flower,Available,aleurites_moluccana_flower_01.png,PASS,
aleurites-moluccana,Seed,Available,aleurites_moluccana_seed_01.png,PASS,
aleurites-moluccana,Habitat,Missing,-,PASS,
aleurites-moluccana,Bark,Missing,-,PASS,
albizia-lebbeck,Leaf,Available,albizia_lebbeck_leaf_01.png,PASS,
albizia-lebbeck,Flower,Available,albizia_lebbeck_flower_01.png,PASS,
albizia-lebbeck,Seed,Available,albizia_lebbeck_seed_01.png,PASS,
albizia-lebbeck,Habitat,Missing,-,PASS,
albizia-lebbeck,Bark,Missing,-,PASS,
